thread_id,title,thread_url,comment_count,first_datetime_utc,last_datetime_utc
892aad1dca9e,Đồng giới (LGBT) có thể lây nhiễm không?,https://voz.vn/t/dong-gioi-lgbt-co-the-lay-nhiem-khong.201487/,20,2020-12-25T07:08:44+00:00,2020-12-25T07:29:27+00:00
899d2ea3f0e4,Khát vọng cống hiến từ những lá đơn tình nguyện,https://voz.vn/t/khat-vong-cong-hien-tu-nhung-la-don-tinh-nguyen.1262803/,19,2026-07-22T07:48:08+00:00,2026-07-22T08:21:51+00:00
8b214235b622,Số phận bi thảm của người đồng tính ở Uganda,https://voz.vn/t/so-phan-bi-tham-cua-nguoi-dong-tinh-o-uganda.911436/,19,2024-01-22T08:51:52+00:00,2024-01-22T09:17:10+00:00
8e8a153ab93b,"Liên giới tính là gì, khác đồng tính và chuyển giới thế nào?",https://voz.vn/t/lien-gioi-tinh-la-gi-khac-%C4%91ong-tinh-va-chuyen-gioi-the-nao.1135605/,20,2025-08-14T07:02:38+00:00,2025-08-14T07:43:18+00:00
90956e2937a9,Hành vi thường thấy của những người kỳ thị và sợ người đồng tính,https://voz.vn/t/hanh-vi-thuong-thay-cua-nhung-nguoi-ky-thi-va-so-nguoi-%C4%91ong-tinh.755456/,18,2023-04-15T02:22:24+00:00,2023-04-15T02:45:40+00:00
9259a9c0c6ca,"Chơi cầu lông hại gối quá, cho hỏi mấy loại thực phẩm chức năng cho gân đầu gối",https://voz.vn/t/choi-cau-long-hai-goi-qua-cho-hoi-may-loai-thuc-pham-chuc-nang-cho-gan-dau-goi.1262769/,20,2026-07-22T06:14:58+00:00,2026-07-22T08:25:51+00:00
9bfa7db3c6e8,Xe Lexus của bà Trương Mỹ Lan giảm còn 635 triệu đồng sau hai lần đấu giá,https://voz.vn/t/xe-lexus-cua-ba-truong-my-lan-giam-con-635-trieu-dong-sau-hai-lan-dau-gia.1262508/,20,2026-07-21T08:23:37+00:00,2026-07-21T09:20:22+00:00
a4067fa9e3d3,"Thống đốc Phạm Đức Ấn thừa nhận điều hành lãi suất ""vất vả"", hé lộ giải pháp giảm tải áp lực vốn cho ngân hàng",https://voz.vn/t/thong-doc-pham-duc-an-thua-nhan-dieu-hanh-lai-suat-vat-va-he-lo-giai-phap-giam-tai-ap-luc-von-cho-ngan-hang.1262073/,18,2026-07-20T03:19:00+00:00,2026-07-20T04:31:48+00:00
b4a788b86a80,Các thím chơi bút máy vào khoe hàng đi,https://voz.vn/t/cac-thim-choi-but-may-vao-khoe-hang-di.165690/,20,2020-10-28T07:01:26+00:00,2020-11-03T06:41:52+00:00
bb4238d20b18,Nhân viên khách sạn không cho người chuyển giới nhận phòng gây tranh cãi,https://voz.vn/t/nhan-vien-khach-san-khong-cho-nguoi-chuyen-gioi-nhan-phong-gay-tranh-cai.876150/,20,2023-11-16T01:16:43+00:00,2023-11-16T01:30:35+00:00
